BranchCode,ServiceCode,TicketPrefix,DefaultAvgServiceMinutes,EntryType,EnqueueSequence,CheckedIn,SlotActive,CallNextPriority,QueueLength,CrossLaneQueueLength,PeopleAheadCallNext,ActiveCounters,ListeningCounters,HourOfDay,DayOfWeek,IsPeakHour,WaitingMinutes
0,PS,P,3.063,0,550,0,0,1,0,0,0,6,6,14,6,1,0.0
0,IN,I,6.846,0,6,0,0,1,0,0,0,2,2,7,6,0,0.0
0,NE,N,4.556,0,12,0,0,1,0,0,0,3,3,8,0,0,0.0
0,PS,P,3.063,0,118,0,0,1,0,0,0,1,1,22,5,0,0.0
0,PS,P,3.063,0,1112,0,0,1,8,8,8,3,3,18,2,0,1.1
101056,ACC_OPEN,D,25.0,1,3,1,0,1,3,22,3,6,1,14,4,1,56.04
101012,ACC_OPEN,D,25.0,1,7,1,0,1,7,38,8,5,1,11,1,1,90.0
101056,CREDIT_CARD,C,12.0,0,2,1,1,0,1,6,1,2,1,16,2,1,1.4
101045,INSURANCE,H,20.0,0,4,1,1,0,4,16,2,4,1,10,3,1,43.13
0,PS,P,3.063,0,790,0,0,1,7,7,7,6,6,15,6,1,2.5833
101045,DEPOSIT,A,6.0,1,5,1,0,1,2,6,2,3,2,16,2,1,7.13
0,NE,N,4.556,0,21,0,0,1,2,2,2,7,7,9,3,1,0.0
101078,ACC_OPEN,D,25.0,1,6,1,0,1,2,16,2,5,1,14,3,1,41.94
101045,ATM_CDM,F,8.0,1,3,1,0,1,3,10,2,2,1,9,5,1,16.63
101045,ATM_CDM,F,8.0,1,2,1,0,1,1,10,0,2,1,16,2,1,0.0
0,PS,P,3.063,0,542,0,0,1,3,3,3,6,6,10,2,1,1.45
101045,ATM_CDM,F,8.0,1,8,1,0,1,5,13,2,3,1,16,3,1,58.25
0,PS,P,3.063,0,494,0,0,1,1,1,1,4,4,12,0,0,0.45
0,TT,T,1.906,0,5,0,0,1,4,4,4,5,5,13,0,0,0.0
101033,CREDIT_CARD,C,12.0,0,6,1,0,1,6,27,4,5,2,10,1,1,35.82
0,TT,T,1.906,0,24,0,0,1,0,0,0,7,7,12,6,0,0.0
101012,BIZ_BANK,I,18.0,1,3,1,0,1,2,17,0,5,1,12,3,0,0.0
0,PS,P,3.063,0,109,0,0,1,0,0,0,4,4,8,1,0,0.0
0,PS,P,3.063,0,311,0,0,1,0,0,0,6,6,10,0,1,0.0
101078,LOAN,B,30.0,1,3,1,0,1,3,9,7,4,1,14,4,1,80.62
