BranchCode,ServiceCode,TicketPrefix,DefaultAvgServiceMinutes,EntryType,EnqueueSequence,CheckedIn,SlotActive,CallNextPriority,QueueLength,CrossLaneQueueLength,PeopleAheadCallNext,ActiveCounters,ListeningCounters,HourOfDay,DayOfWeek,IsPeakHour,WaitingMinutes
101033,ATM_CDM,F,8,0,7,0,0,1,4,22,4,6,1,15,2,1,29.44
101056,DEPOSIT,A,6,1,1,1,0,1,7,17,3,3,1,9,2,1,26.55
101012,CUST_SVC,E,10,1,10,1,0,1,6,34,12,5,2,10,1,1,78.0
101012,CUST_SVC,E,10,1,6,1,0,1,6,22,1,4,1,13,1,0,30.58
101033,CUST_SVC,E,10,0,5,1,1,0,3,9,0,3,1,16,4,1,0.0
101012,DEPOSIT,A,6,1,9,1,0,1,6,31,8,6,3,11,5,1,55.68
101012,CUST_SVC,E,10,1,6,1,0,1,5,27,4,5,1,9,5,1,34.92
101056,ONLINE_SUP,J,12,0,3,1,0,1,5,23,7,5,1,11,1,1,86.78
101056,CUST_SVC,E,10,1,3,1,0,1,6,28,12,5,2,11,5,1,90.0
101033,WITHDRAW,A,5,1,5,1,0,1,3,9,2,3,2,13,2,0,21.07
101045,ACC_OPEN,D,25,1,3,1,0,1,1,10,0,4,1,11,4,1,0.33
101045,ACC_OPEN,D,25,0,5,1,0,1,2,4,2,4,1,13,2,0,42.66
101033,ACC_OPEN,D,25,0,1,1,0,1,1,12,1,4,1,15,5,1,28.92
101078,ACC_OPEN,D,25,1,4,1,0,1,1,1,0,2,1,12,5,0,0.0
101033,DEPOSIT,A,6,1,2,1,0,1,4,19,7,3,1,16,3,1,90.0
101078,ACC_OPEN,D,25,0,6,1,0,1,2,10,1,2,1,11,2,1,8.25
101056,CREDIT_CARD,C,12,1,1,1,0,1,4,9,2,4,2,11,3,1,14.03
101045,ACC_OPEN,D,25,0,6,1,0,1,4,3,1,2,1,16,3,1,6.37
101033,ONLINE_SUP,J,12,1,5,1,0,1,2,17,4,4,1,15,3,1,63.31
101056,ONLINE_SUP,J,12,1,8,1,0,1,4,19,3,3,1,9,2,1,44.94
101078,WITHDRAW,A,5,0,5,1,1,0,2,12,1,3,2,11,5,1,3.83
101078,REMITTANCE,K,10,0,6,1,1,0,2,24,1,5,1,15,4,1,12.1
